uniprot_id,gene_name,protein_name,seq_length
A0A2I7WDS6,CAB90_04299,Uncharacterized protein,175
A0A655AF02,ERS027659_03459,Uncharacterized protein,81
A0A655APQ1,ERS027646_04388,Uncharacterized protein,220
A0A655FW85,ERS007661_03757,Uncharacterized protein,192
A0A655FXG2,ERS007661_04142,Uncharacterized protein,97
A0A655IM56,ERS007679_02873,Uncharacterized protein,51
A0A655JHJ3,guaA,GMP synthase (glutamine-hydrolyzing),307
A0A655JF22,ephC_2,Epoxide hydrolase,123
A0A0U0QKX5,ERS007703_00322,Uncharacterized protein,78
A0A0U0TJQ6,ERS007703_05435,Uncharacterized protein,82
A0A916LB27,ppsE,Phenolpthiocerol synthesis type-I polyketide synthase ppsE,152
A0A916LC21,ERS007739_02843,Universal stress protein family,97
A0A654TL54,ERS007688_01559,Uncharacterized protein,299
A0A654TF77,ERS007688_00097,Uncharacterized protein,214
A0A654U689,kstR,TetR family transcriptional regulator,139
A0A655JQG5,ERS007720_04405,Esx-1 substrate protein,70
A0A916LH88,ERS007739_05461,Uncharacterized protein,58
A0A916P7X9,ERS007739_01988,Uncharacterized protein,88
A0A654U263,ERS007657_02384,Uncharacterized protein,56
A0A654TI71,ERS007688_00898,Uncharacterized protein,109
A0A655A6V1,ERS027659_02795,Transmembrane protein,249
A0A655AGV9,rne,Axial filament protein,412
A0A655AJ71,ERS027646_02922,Uncharacterized protein,90
A0A655J932,ERS007720_02861,Uncharacterized protein,179
A0A655J9C2,argH,Argininosuccinate lyase,66
A0A655AI35,ERS027646_02766,2-oxoglutarate ferredoxin oxidoreductase subunit beta,96
A0A655JP17,ERS007741_04178,Uncharacterized protein,201
A0A655FFJ9,ephA,Putative epoxide hydrolase EPHA,237
A0A654TGD2,ERS007688_00453,Uncharacterized protein,465
A0A655FUF8,ERS007661_03659,Uncharacterized protein,191
A0A655HMY5,wax-dgaT_2,Putative diacylglycerol O-acyltransferase,118
A0A0U0RSD8,ERS007703_03124,Uncharacterized protein,120
A0A0U0QY40,ERS007703_01521,Uncharacterized protein,126
A0A0U0T0R2,glnE_2,Bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase,202
A0A0U0T7B9,ERS007703_05065,Uncharacterized protein,85
A0A654ZLE4,ERS027659_00235,Uncharacterized protein,265
A0A655ASY3,ERS027661_04594,Transposase,210
A0A655AUS3,ERS027661_04952,Calpastatin,91
A0A654ZVJ1,prfB_1,Peptide chain release factor 2,61
A0A655FZ10,ERS007661_04387,PE family protein,53
A0A655G022,ERS007661_04432,Uncharacterized protein,103
A0A655I0L6,ERS007720_00096,Uncharacterized protein,64
A0A655IJS1,ERS007720_01329,Transposase,74
A0A655IXG3,ERS007720_02128,Acyltransferase,92
A0A916LCD0,ERS007739_02987,Uncharacterized protein,51
A0A916L895,ERS007739_00630,Uncharacterized protein,70
A0A916L8L5,ERS007739_00655,Acyl-CoA dehydrogenase,115
A0A916LHG8,ERS007739_05645,Immunogenic protein MPT63 (Antigen MPT63/MPB63) (16 kDa immunoprotective extrace,52
A0A2I7W409,CAB90_00647,Uncharacterized protein,160
A0A2I7W9G3,cysA1,Sulfate ABC transporter ATP-binding protein CysA,79
A0A2I7WAA1,CAB90_02992,Prophage protein,93
A0A916P800,ERS007739_02109,Uncharacterized protein,93
A0A0U0SW50,ERS007703_04742,Uncharacterized protein,143
A0A654T479,ERS007681_00084,Conserved protein of uncharacterized function (Part1),106
A0A654T9F1,ERS007681_02019,Uncharacterized protein,64
A0A654TE68,ERS007681_03895,Uncharacterized protein,68
A0A654U198,ERS007657_01878,Probable conserved exported protein,87
A0A654U3B9,ERS007657_02769,Secreted protein,74
A0A655APE6,ERS027659_04931,Uncharacterized protein,104
A0A655JM09,ERS007720_04022,Uncharacterized protein,229
A0A916LEZ2,ERS007739_04290,Uncharacterized protein,53
A0A916P9I6,ERS007739_04458,Uncharacterized protein,81
A0A2I7W284,CAB90_00020,Uncharacterized protein,89
A0A2I7W7W8,rpfC,Resuscitation-promoting factor RpfC,140
A0A2I7W8P6,lppL,Lipoprotein LppL,105
A0A916LFG9,ERS007739_04547,Uncharacterized protein,79
A0A655A6F1,ppe_2,"Conserved protein of uncharacterized function, PPE family protein PPE1",170
A0A655AN53,ERS027661_04093,PPE family protein,250
A0A655AQN1,ERS027646_03677,Uncharacterized protein,52
A0A655AWD4,ribD_2,Riboflavin biosynthesis protein RibD,71
A0A655JSS8,ERS007741_04611,PE family protein,53
A0A0U0RXZ2,ERS007703_03476,Uncharacterized protein,65
A0A654T516,ERS007681_00464,Uncharacterized protein,76
A0A654TPP2,hemA_2,Glutamyl-tRNA reductase,338
A0A654U795,PE1,PE family protein,51
A0A655JRQ5,ERS007741_04468,Uncharacterized protein,244
A0A0T9CG19,ERS007703_05438,Uncharacterized protein,60
A0A0U0SA29,fadM,Proline dehydrogenase,187
A0A9P1PFT4,ctpF,ATPase P,721
A0A655AMT7,ERS027659_04303,Uncharacterized protein,126
A0A655AUR2,ERS027661_04761,Uncharacterized protein,73
A0A655AVD6,ERS027646_04679,Uncharacterized protein,116
A0A655AY79,ERS027661_05025,Carboxylate-amine ligase,58
A0A655HKC6,ERS007679_00022,Conserved protein of uncharacterized function. Member of Mycobacterium tuberculo,208
A0A655IDA3,fmt,Methionyl-tRNA formyltransferase,264
A0A0U0SFV3,ERS007703_04091,Transposase,77
A0A0U0T5P0,ERS007703_05003,Uncharacterized protein,56
A0A2I7W553,vapB9,Antitoxin VapB9,94
A0A2I7W9F7,CAB90_02514,Uncharacterized protein,183
A0A2I7W9J8,CAB90_02732,Uncharacterized protein,251
A0A2I7WD86,CAB90_04068,Uncharacterized protein,216
A0A2I7W5H5,greA_1,Transcription elongation factor GreA,164
A0A2I7W603,CAB90_01394,Magnesium transporter MgtE,267
A0A2I7WCF7,otsB2,Trehalose 6-phosphate phosphatase,105
A0A0T9CE61,ERS007703_02763,Uncharacterized protein,166
A0AA44RN09,A4S10_03495,PE family protein,1552
A0A654TAH3,guaB2,Inosine-5'-monophosphate,181
A0A654U339,sufD,Fe-S cluster assembly protein SufD,86
A0A655AJS6,ERS027661_03810,Acyl-CoA dehydrogenase,189
A0A655ALF0,ERS027661_04532,PE-PGRS family protein,263
A0A655AMG6,ERS027661_04220,Uncharacterized protein,151
A0A655FWT2,ERS007661_03750,Uncharacterized protein,102
A0A655I6Q7,ERS007720_00544,Uncharacterized protein,231
A0A655J1X9,ERS007720_02332,Secreted protein,63
A0A654ZLR0,ERS027659_00438,PPE family protein,665
A0A916LB65,paiA,Acetyltransferase GNAT family,58
A0A916LC44,ppsB,Phenolpthiocerol synthesis type-I polyketide synthase ppsB,207
A0A916LFA6,ERS007739_04284,Antitoxin,50
A0A916LG32,ERS007739_04693,Secreted protein,82
A0A916P7F5,ERS007739_01271,Uncharacterized protein,158
A0A916PAU3,ERS007739_01366,Uncharacterized protein,74
A0A654TA83,ERS007681_02494,Epimerase,245
A0A654U6Y6,ERS007657_03964,Uncharacterized protein,69
A0A654U8H5,lipJ_2,Lignin peroxidase,64
A0A654ZY81,ERS027646_00582,Uncharacterized protein,675
A0A655ANF0,ERS027659_04372,Uncharacterized protein,119
A0A0U0T7Y8,ERS007703_05018,Uncharacterized protein,130
A0A0U0TK49,ERS007703_05410,Uncharacterized protein,64
A0A655ING1,PE_PGRS22,PE-PGRS family protein,99
A0A654U8U7,ERS007657_04194,Putative integral membrane protein,59
A0A654ZQH1,ERS027661_00280,Large protein containing transglutaminase-like domain,353
A0A654ZUG2,ERS027659_01768,Transmembrane protein,78
A0A655A4L7,ERS027661_02796,Uncharacterized domain,76
A0A655AS02,ERS027646_03773,TetR family transcriptional regulator,101
A0A655FL00,gpsI,Polynucleotide phosphorylase/polyadenylase,310
A0A655FYM0,ERS007661_04049,Uncharacterized protein,54
A0A655ILU2,ERS007741_01125,TIGR03089 family protein,70
A0A655JSX4,pfkB,Phosphofructokinase,157
A0A655AND6,ERS027661_04192,Uncharacterized protein,135
A0A655ANY4,ERS027661_04832,Transcriptional regulator,118
A0A655AQT2,ERS027646_03590,Integral membrane protein,71
A0A655AT19,ERS027659_04778,Uncharacterized protein,62
A0A655IXQ6,cydC,ABC transporter ATP-binding protein,141
A0A654T4K1,ERS007681_00385,Uncharacterized protein,120
A0A916LCQ5,ERS007739_02174,Uncharacterized protein,58
A0A916PAN9,ERS007739_01137,Uncharacterized protein,152
A0A0U0QIA6,ERS007703_00069,Uncharacterized protein,83
A0A0U0SFQ6,ERS007703_04124,Uncharacterized protein,94
A0A0U0T3Y2,ERS007703_04882,Uncharacterized protein,91
A0A655DU74,TB18_1,"Conserved protein of uncharacterized function, TB18.6",135
A0A655F502,ERS007661_02515,Membrane protein,62
A0A655I902,ERS007679_02249,Uncharacterized protein,226
A0A655IMA2,ERS007679_02963,Uncharacterized protein,236
A0A655JQV9,pheT,Phenylalanyl-tRNA synthetase subunit beta,300
A0A655AEE1,gmd_2,"GDP-mannose 4,6-dehydratase",270
A0A655AFS9,secBL,SecB-like chaperone,125
A0A655ANL4,ERS027646_03364,ATPase,206
A0A655ATF6,ERS027646_04328,TetR family transcriptional regulator,159
A0A655FXQ2,ERS007661_04234,Membrane protein,75
A0A655IP40,cysG,precorrin-2 dehydrogenase,191
A0A655IV44,ERS007720_01879,Uncharacterized protein,124
A0A655JR35,ERS007720_04475,Secreted protein,114
A0A655JRS9,ERS007741_04454,Uncharacterized protein,51
A0A9P1PGM0,ERS053720_02736,Rhamnosyl O-methyltransferase,168
A0A2I7WBJ9,CAB90_03282,Uncharacterized protein,178
A0A916LAS9,ERS007739_01969,Secreted protein,76
A0A916LB58,ERS007739_02120,Uncharacterized protein,74
A0A916L8C1,fadD5,Fatty-acid-CoA ligase,377
A0A2I7WBK0,CAB90_03488,Uncharacterized protein,204
A0A2I7W7S1,CAB90_02042,Uncharacterized protein,168
A0A2I7W5S9,CAB90_01335,Uncharacterized protein,136
A0A2I7W8U8,CAB90_02495,Secreted protein,67
A0A2I7WB98,CAB90_03381,Uncharacterized protein,89
A0A916L808,ERS007739_00454,Uncharacterized protein,65
A0AAD2QC02,ERS007718_03021,"Transcriptional regulator, CdaR",131
A0A654U4F3,ERS007657_03283,Uncharacterized protein,69
A0A2I7WBD3,CAB90_03407,S-adenosylmethionine-dependent methyltransferase,250
A0A2I7W5J5,CAB90_01249,DUF4245 domain-containing protein,107
A0A2I7W9N9,valS,Valine--tRNA ligase,876
A0A2I7W3L5,CAB90_00475,Uncharacterized protein,228
A0A2I7WAG7,CAB90_03078,Uncharacterized protein,139
A0A654TE97,ERS007681_03771,Uncharacterized protein,87
A0A654U572,ERS007657_02828,Transposase,139
A0A654U8J3,ERS007657_04597,Uncharacterized protein,66
A0A654TR83,ftsH,Cell division protein FtsH,348
A0A654TZC7,ureG,Urease accessory protein ureG,65
A0A655APT2,ERS027661_04260,Uncharacterized protein,153
A0A916LA82,ERS007739_01678,13E12 repeat family protein,58
A0A916LAX5,ERS007739_02117,Uncharacterized protein,128
A0A916LGY1,ERS007739_05396,Uncharacterized protein,75
A0A916PH28,ERS007739_03796,PPE family protein,103
A0A0U0RWQ3,ERS007703_03312,Exported conserved protein,87
A0A916LD25,ERS007739_03319,Uncharacterized protein,120
A0A916PBR5,ERS007739_02734,Cytochrome P450 126 cyp126,217
A0A916L802,uvrA,UvrABC system protein A,553
A0A916L9A8,ERS007739_01183,Uncharacterized protein,67
A0A916L9K8,ERS007739_01125,Secreted protein,78
A0A916LG05,ERS007739_04694,Uncharacterized protein,133
A0A916LGD0,ERS007739_04910,Uncharacterized protein,82
A0A654U5D8,ERS007657_03569,Uncharacterized protein,72
A0A654U6W0,ERS007657_04073,Uncharacterized protein,88
A0A654TTT1,ERS007688_03596,PPE family protein,106
A0A916PC16,ERS007739_03097,Uncharacterized protein,107
A0A916LDX0,ERS007739_03437,Metalloprotease,66
A0A916PGL7,ERS007739_02506,Uncharacterized protein,57
A0A654T6Y9,ctpF_2,Metal cation transporter P-type ATPase A ctpF,302
A0A654U476,ribA1,Riboflavin biosynthesis protein RibA,162
A0A654U814,ERS007657_04466,D-alanyl-D-alanine carboxypeptidase,90
A0A655AS05,ERS027661_05028,Uncharacterized protein,58
A0A655JS69,ERS007741_04640,Uncharacterized protein,68
A0A0U0RU18,ERS007703_03209,Uncharacterized protein,114
A0A0U0SJQ8,dop,Pup deamidase/depupylase,247
A0A655DMY6,ERS007661_01154,Uncharacterized protein,418
A0A655JMC5,ERS007720_04061,Uncharacterized protein,139
A0A0U0QTZ8,ERS007703_01340,Uncharacterized protein,58
A0A0U0QV93,ERS007703_01454,Uncharacterized protein,113
A0A0U0R737,ERS007703_02137,Uncharacterized protein,112
A0A0U0RSW2,ERS007703_03247,Uncharacterized protein,276
A0A0U0QNL9,ERS007703_00605,Uncharacterized protein,64
A0A0U0R762,ERS007703_02058,Putative acyltransferase,53
A0A0U0T1S5,ERS007703_04825,Integral membrane protein,295
A0A0U0STQ0,mycP2,Alanine and proline rich membrane-anchoredmycosin,187
A0A655AN86,ERS027661_04762,Protein of uncharacterized function (DUF3097),113
A0A655JE97,ERS007720_03277,Adenylate and guanylate cyclase catalytic domain-containing protein,74
A0A655AIQ2,ERS027661_04249,Uncharacterized protein,79
A0A916LB76,ERS007739_02357,Uncharacterized protein,76
A0A654U0R2,ERS007657_02013,Hydrolase,121
A0A654U717,ERS007657_04331,Uncharacterized protein,65
A0A654ZS18,ERS027659_00437,Uncharacterized protein,120
A0A655AEA5,ERS027661_03858,Uncharacterized protein,274
A0A655AFK0,ERS027661_03691,Uncharacterized protein,123
A0A655AFS1,ERS027661_03383,Uncharacterized protein,202
A0A655AG96,ERS027661_03617,ESX-2 secretion-associated protein EspG2,111
A0A655ALF4,ERS027659_04215,Transposase,121
A0A655AT03,ERS027659_04772,Uncharacterized protein,160
A0A655AWA2,devB,6-phosphogluconolactonase,62
A0A655AWB8,ERS027646_04553,Uncharacterized protein,106
A0A655J2H8,ERS007741_02165,Uncharacterized protein,241
A0A655JA29,ERS007720_02941,Uncharacterized protein,143
A0A655JC04,ERS007741_02958,Oxidoreductase,110
A0A655JIS9,purK_2,N5-carboxyaminoimidazole ribonucleotide synthase,91
A0A655JTX9,ERS007720_05027,Uncharacterized protein,91
A0A654TAN0,ERS007681_02648,Chalcone/stilbene synthase,255
A0A655ASB0,ERS027659_05267,Putative NAD(P)H nitroreductase,52
A0A655FI07,ERS007661_03043,Putative membrane-anchored protein,110
A0A655JPY3,ERS007720_04321,Uncharacterized protein,145
A0A654U9Z8,ERS007657_04618,Uncharacterized protein,63
A0A0U0S3Q5,ERS007703_00702,Uncharacterized protein,75
A0A0U0S847,fadA6_1,Acetyl-CoA acetyltransferase,174
A0A655AT45,glgB,"1,4-alpha-glucan branching enzyme GlgB (Glycogen branching enzyme)",77
A0A655ATZ4,ERS027659_04771,Uncharacterized protein,62
A0A655IHU2,ERS007679_02636,Putative membrane glycine and proline rich protein,275
A0A655JQ76,ERS007720_04454,Possible membrane protein,138
A0A655AR82,ERS027646_04654,Integral membrane protein,129
A0A0U0QNR0,ERS007703_00618,Uncharacterized protein,70
A0A654ZWF3,ERS027646_00394,Uncharacterized protein,123
A0A655A035,ERS027646_00846,Uncharacterized protein,169
A0A655AT47,ERS027659_04696,Uncharacterized protein,93
A0A655ATR7,ERS027659_04815,Putative Zn-dependent hydrolases,241
A0A655AWJ5,ERS027646_04928,Uncharacterized protein,80
A0A655I124,ERS007679_01812,Uncharacterized protein,117
A0A655IQR6,ERS007741_01394,Uncharacterized protein,123
A0A655JHP9,ERS007720_03596,Uncharacterized protein,58
A0A655JSX2,rmlC,"dTDP-4-dehydrorhamnose 3,5-epimerase",155
A0A2I7W751,CAB90_01847,Uncharacterized protein,110
A0A916PG47,ERS007739_00953,Uncharacterized protein,57
A0A916P7V6,ERS007739_01883,Uncharacterized protein,56
A0A916PH75,fadE10,Acyl-CoA dehydrogenase,145
A0A916L7S1,ERS007739_00173,Uncharacterized protein,81
A0A916L9E0,ERS007739_01207,Membrane or exported protein,188
A0A916LAG4,ERS007739_01860,Uncharacterized protein,61
A0A916LBA0,ERS007739_01934,Uncharacterized protein,57
A0A916P796,cutL_1,Carbon monoxyde dehydrogenase large subunit,175
A0A916LFQ2,atpFH,F0F1 ATP synthase subunit delta,50
A0A916LHE5,PPE45,PPE family protein,70
A0A2I7W4W4,citA,citrate synthase (unknown stereospecificity),373
A0A2I7WAY1,dacB2,Penicillin-binding protein DacB2,104
A0A2I7W8X2,CAB90_02500,Uncharacterized protein,78
A0A916L8C0,ERS007739_00653,Uncharacterized protein,198
A0A2I7W3P7,CAB90_00550,Transposase,184
A0A2I7W4U3,moaE2,Molybdopterin synthase catalytic subunit 2,105
A0A916L9F4,ERS007739_01314,Conserved protein of uncharacterized function. Member of Mycobacterium tuberculo,112
A0A916P7E6,ephE,Epoxide hydrolase,127
A0A916P9A5,ERS007739_04081,Uncharacterized protein,74
A0A2I7W8C9,CAB90_02266,Uncharacterized protein,134
A0A2I7WEH1,CAB90_04354,Uncharacterized protein,60
A0A654U0U3,ERS007657_01728,Uncharacterized protein,57
A0A654U500,alx,Integral membrane protein,213
A0A654U502,ERS007657_03348,Uncharacterized protein,77
A0A654U750,ERS007657_04166,Uncharacterized protein,66
A0A654U8D3,ERS007657_04610,Coproporphyrinogen III oxidase,59
A0A916LBY8,ERS007739_02286,Secreted protein,86
A0A916P9N7,ERS007739_04686,Uncharacterized protein,89
A0A916PBK3,ERS007739_02446,Uncharacterized protein,50
A0A654TZ58,purB_2,Adenylosuccinate lyase,175
A0A655ANX3,pirG,Exported repetitive protein PirG (Cell surface protein) (Exp53),100
A0A2I7W9R0,ssb_2,Single-strand DNA-binding protein,161
A0A2I7WAI4,PPE44,PPE family protein PPE44,273
A0A916LA63,ERS007739_01663,"Peptide synthetase, putative",172
A0A916LDJ8,ERS007739_03267,S-adenosyl-L-methionine-dependent methyltransferase,153
A0A916LH16,ERS007739_05308,Uncharacterized protein,79
A0A916PCH2,ERS007739_03262,Uncharacterized protein,72
A0A654TSB6,ERS007688_03684,"Putative redox protein, regulator of disulfide bond formation",70
A0A654U2T3,ERS007657_02587,Uncharacterized protein,62
A0A654U6U5,ERS007657_03924,"Hydrolase, Alpha/beta family",189
A0A655A4H6,ERS027659_02381,Uncharacterized protein,71
A0A655A7X6,ERS027661_02522,Membrane protein,382
A0A655AFK7,ERS027661_03361,Transmembrane protein,417
A0A655AQL7,folD,methenyltetrahydrofolate cyclohydrolase,186
A0A0U0SHA7,ERS007703_04261,Uncharacterized protein,59
A0A654TZ76,ERS007657_01435,Uncharacterized protein,129
A0A654U1P3,ERS007657_02223,Uncharacterized protein,114
A0A655ACS5,ERS027661_03675,Uncharacterized protein,218
A0A655AYU1,ERS027646_04934,PE family protein,50
A0A655A0W8,gabD1,Succinate-semialdehyde dehydrogenase,73
A0A655ARR3,ERS027646_04074,ATP-dependent DNA helicase,436
A0A655IHN3,ERS007720_01201,Secreted protein,72
A0A655JBT4,aftA,Transmembrane protein,219
A0A655JQ73,ERS007741_04241,"Putative phosphomutase, MSMEG_4193 family",78
A0A916L8Z9,ERS007739_00929,ABC transporter ATP-binding protein/permease,395
A0A916PA90,ERS007739_05371,Uncharacterized protein,71
A0A655ARX9,virS,Virulence-regulating transcriptional regulator VirS (AraC/XylS family),142
A0A655FW90,ERS007661_03646,Uncharacterized protein,197
A0A654ZVJ2,ERS027659_00751,Cell surface lipoprotein MPT83,63
A0A655AIS5,celA2b,Cellulase,73
A0A655ASQ3,ERS027646_03894,Uncharacterized protein,117
A0A655FIY2,metE,5-methyltetrahydropteroyltriglutamate--homocysteinee S-methyltransferase,296
A0A655I6J5,oxc_1,Putative oxalyl-CoA decarboxylase,80
A0A655J4N2,ctpE_1,ATPase P,486
A0A655A2J7,ERS027661_01968,Uncharacterized protein,222
A0A655AX53,ERS027661_04961,Uncharacterized protein (ATP-grasp superfamily),78
A0A655FA68,ERS007661_02698,Uncharacterized protein,73
A0A655HRH9,ERS007679_00642,ATPase,244
A0A655JMI8,ERS007741_03997,Uncharacterized protein,126
A0A655A0F3,ERS027661_02323,Uncharacterized protein,200
A0A655AS92,ERS027646_04828,Uncharacterized protein,61
A0A655ASC2,ispH_2,LytB-related protein lytB2,68
A0A655E023,ERS007661_01404,Transposase,235
A0A655FIJ0,ERS007661_03029,Uncharacterized protein,271
A0A654U6I0,ERS007657_03875,Uncharacterized protein,70
A0A655A8E2,ERS027659_02747,DUF3090 family protein,74
A0A655AMA6,amiA1,N-acyl-L-amino acid amidohydrolase,252
A0A654ZPG2,ERS027661_00801,Conserved membrane protein of uncharacterized function,423
A0A655AJM1,ctpH,ATPase P,449
A0A0U0TLT0,ERS007703_05449,Uncharacterized protein,69
A0A654TQV5,ERS007688_03262,Uncharacterized protein,137
A0A654ZX66,ERS027661_01714,Uncharacterized protein,115
A0A655AML9,ERS027646_03232,Uncharacterized protein,201
A0A655ANG7,ERS027661_04323,Uncharacterized protein,131
A0A655F9X2,ERS007661_02714,Uncharacterized protein,86
A0A655J6K6,ERS007741_02492,Acyl-CoA synthetase,340
A0A655J9Z3,tcmO,Tetracenpmycin polyketide synthesis 8-o-methyltransferase,162
A0A655JF94,ERS007720_03345,Uncharacterized protein,82
A0A655JLW1,ilvE,Branched-chain amino acid transaminase,60
A0A654U498,ERS007657_03331,AraC family transcriptional regulator,86
A0A655AJ47,ERS027646_03484,Uncharacterized protein,245
A0A655AM49,istB,Istb,191
A0A916L7Q1,ERS007739_00249,Secreted protein,84
A0A916LA85,ERS007739_01654,Uncharacterized protein,150
A0A916LD68,ERS007739_03466,Carnitinyl-CoA dehydratase,81
A0A2I7WAY2,lppW,Lipoprotein LppW,226
A0A2I7WCQ3,CAB90_03907,Membrane protein,201
A0A2I7WCI8,CAB90_03792,Uncharacterized protein,119
A0A916PHF0,ERS007739_04751,Uncharacterized protein,54
A0A916L7E7,asd_1,Aspartate-semialdehyde dehydrogenase Asd (ASA dehydrogenase) (ASADH) (Aspartic S,174
A0A916LD13,ERS007739_02995,Secreted protein,74
A0A916LGT0,ERS007739_05247,Uncharacterized protein,76
A0A654TRS7,ERS007688_03597,PPE family protein,83
A0A654TVE4,ERS007657_00011,Uncharacterized protein,177
A0A654U556,ERS007657_03398,Transcriptional regulator,175
A0A2I7W4I6,CAB90_00854,Uncharacterized protein,75
A0A916LBF4,ERS007739_02270,Uncharacterized protein,54
A0A916LDM9,ERS007739_03641,Uncharacterized protein,59
A0A916LDR6,ERS007739_03667,Uncharacterized protein,80
A0A916LHK4,ERS007739_05631,Uncharacterized protein,53
A0A916P7L5,ERS007739_01483,Uncharacterized protein,63
A0A916P9B8,ERS007739_04202,Uncharacterized protein,95
